,time,open,high,low,close,tick_volume,spread,real_volume
112,2023-10-30 02:52:00,32470.1,32474.7,32470.1,32474.2,14,28,0
113,2023-10-30 02:53:00,32474.2,32474.2,32472.2,32473.7,15,31,0
114,2023-10-30 02:54:00,32473.2,32475.2,32473.2,32474.7,9,31,0
115,2023-10-30 02:55:00,32474.2,32474.2,32471.8,32471.8,20,30,0
116,2023-10-30 02:56:00,32471.8,32474.3,32471.8,32471.8,23,30,0
117,2023-10-30 02:57:00,32471.8,32474.8,32470.8,32473.8,11,29,0
118,2023-10-30 02:58:00,32473.8,32474.4,32471.4,32471.8,11,33,0
119,2023-10-30 02:59:00,32472.3,32473.3,32471.8,32472.8,11,30,0
120,2023-10-30 03:00:00,32472.7,32476.6,32469.6,32473.6,74,28,0
121,2023-10-30 03:01:00,32473.1,32477.6,32470.6,32476.6,87,29,0
122,2023-10-30 03:02:00,32476.1,32481.1,32476.1,32476.6,58,24,0
123,2023-10-30 03:03:00,32476.6,32480.6,32475.6,32478.6,53,29,0
124,2023-10-30 03:04:00,32478.6,32478.6,32473.6,32473.6,55,34,0
125,2023-10-30 03:05:00,32473.6,32483.6,32473.6,32483.6,38,29,0
126,2023-10-30 03:06:00,32483.1,32489.1,32482.6,32488.6,50,34,0
127,2023-10-30 03:07:00,32488.6,32499.1,32487.1,32497.1,61,34,0
128,2023-10-30 03:08:00,32496.6,32496.6,32493.1,32493.6,50,34,0
129,2023-10-30 03:09:00,32494.1,32494.1,32492.1,32493.6,30,39,0
130,2023-10-30 03:10:00,32493.6,32494.6,32490.1,32491.6,38,29,0
131,2023-10-30 03:11:00,32491.6,32491.6,32487.1,32490.1,54,34,0
132,2023-10-30 03:12:00,32490.6,32494.6,32490.1,32491.1,32,29,0
133,2023-10-30 03:13:00,32491.6,32497.1,32489.6,32497.1,27,34,0
134,2023-10-30 03:14:00,32496.6,32497.6,32495.6,32495.6,24,29,0
135,2023-10-30 03:15:00,32495.1,32495.1,32488.6,32490.6,61,29,0
136,2023-10-30 03:16:00,32490.6,32497.1,32490.6,32496.6,37,34,0
137,2023-10-30 03:17:00,32497.1,32501.1,32497.1,32501.1,40,34,0
138,2023-10-30 03:18:00,32501.6,32502.1,32498.6,32498.6,37,34,0
139,2023-10-30 03:19:00,32498.6,32498.6,32493.1,32494.6,35,34,0
140,2023-10-30 03:20:00,32494.1,32494.1,32491.6,32493.6,38,29,0
141,2023-10-30 03:21:00,32493.1,32495.6,32492.6,32495.6,33,39,0
142,2023-10-30 03:22:00,32495.1,32495.6,32493.1,32494.6,33,34,0
143,2023-10-30 03:23:00,32494.1,32498.6,32492.1,32497.6,34,29,0
144,2023-10-30 03:24:00,32497.6,32497.6,32493.6,32495.6,15,29,0
145,2023-10-30 03:25:00,32495.6,32495.6,32492.1,32493.1,28,34,0
146,2023-10-30 03:26:00,32492.6,32492.6,32486.1,32487.6,39,29,0
147,2023-10-30 03:27:00,32488.1,32492.6,32488.1,32490.6,28,29,0
148,2023-10-30 03:28:00,32491.1,32493.1,32490.1,32491.6,35,29,0
149,2023-10-30 03:29:00,32492.1,32493.1,32490.6,32491.1,36,34,0
150,2023-10-30 03:30:00,32490.6,32493.6,32488.6,32493.6,45,34,0
151,2023-10-30 03:31:00,32493.1,32499.1,32493.1,32498.1,37,29,0
152,2023-10-30 03:32:00,32497.6,32499.1,32494.6,32497.6,47,34,0
153,2023-10-30 03:33:00,32498.1,32498.1,32493.6,32495.6,46,34,0
154,2023-10-30 03:34:00,32496.1,32498.1,32494.6,32495.6,38,34,0
155,2023-10-30 03:35:00,32495.1,32495.6,32492.1,32492.6,33,34,0
156,2023-10-30 03:36:00,32493.1,32493.6,32486.6,32490.1,50,24,0
157,2023-10-30 03:37:00,32490.6,32493.1,32487.6,32488.6,30,34,0
158,2023-10-30 03:38:00,32488.6,32489.6,32485.6,32485.6,48,34,0
159,2023-10-30 03:39:00,32485.6,32486.6,32481.6,32486.6,46,34,0
160,2023-10-30 03:40:00,32486.6,32493.6,32486.6,32490.6,47,34,0
161,2023-10-30 03:41:00,32490.1,32493.1,32490.1,32492.1,21,29,0
162,2023-10-30 03:42:00,32491.6,32493.6,32490.1,32493.6,32,39,0
163,2023-10-30 03:43:00,32494.1,32497.1,32491.6,32492.6,36,34,0
164,2023-10-30 03:44:00,32492.6,32492.6,32488.1,32490.1,37,24,0
165,2023-10-30 03:45:00,32490.1,32491.1,32485.6,32490.1,45,29,0
166,2023-10-30 03:46:00,32490.6,32490.6,32487.1,32488.6,31,34,0
167,2023-10-30 03:47:00,32488.6,32490.6,32486.6,32489.6,37,34,0
168,2023-10-30 03:48:00,32490.1,32494.6,32488.6,32494.6,26,39,0
169,2023-10-30 03:49:00,32494.6,32498.1,32492.6,32497.1,27,34,0
170,2023-10-30 03:50:00,32497.6,32499.6,32494.6,32497.6,43,24,0
171,2023-10-30 03:51:00,32498.1,32501.6,32497.6,32498.6,35,29,0
172,2023-10-30 03:52:00,32498.1,32499.6,32497.6,32498.6,18,39,0
173,2023-10-30 03:53:00,32498.6,32500.6,32497.6,32498.6,15,34,0
174,2023-10-30 03:54:00,32498.6,32498.6,32496.1,32496.6,12,34,0
175,2023-10-30 03:55:00,32497.1,32500.1,32495.1,32500.1,23,34,0
176,2023-10-30 03:56:00,32500.6,32501.1,32498.1,32500.7,33,37,0
177,2023-10-30 03:57:00,32500.2,32502.6,32498.6,32500.6,46,33,0
178,2023-10-30 03:58:00,32501.1,32503.6,32500.6,32501.6,40,33,0
179,2023-10-30 03:59:00,32501.6,32516.6,32501.6,32515.6,65,29,0
180,2023-10-30 04:00:00,32515.6,32515.6,32508.6,32512.1,86,34,0
181,2023-10-30 04:01:00,32511.6,32513.1,32510.1,32511.6,55,34,0
182,2023-10-30 04:02:00,32512.1,32513.1,32508.6,32511.6,61,34,0
183,2023-10-30 04:03:00,32511.6,32513.6,32511.1,32512.6,53,34,0
184,2023-10-30 04:04:00,32512.6,32514.6,32511.6,32513.6,42,34,0
185,2023-10-30 04:05:00,32514.1,32517.1,32513.6,32514.6,41,34,0
186,2023-10-30 04:06:00,32515.1,32517.1,32514.6,32515.6,39,34,0
187,2023-10-30 04:07:00,32516.1,32517.6,32513.6,32514.6,42,34,0
188,2023-10-30 04:08:00,32515.1,32515.6,32512.6,32513.6,27,34,0
189,2023-10-30 04:09:00,32513.1,32513.1,32508.6,32509.6,25,34,0
190,2023-10-30 04:10:00,32510.1,32511.6,32508.6,32509.6,27,34,0
191,2023-10-30 04:11:00,32509.1,32509.6,32504.6,32506.1,33,24,0
192,2023-10-30 04:12:00,32505.6,32508.1,32505.6,32507.6,43,34,0
193,2023-10-30 04:13:00,32507.6,32507.6,32506.1,32506.6,30,34,0
194,2023-10-30 04:14:00,32507.1,32507.6,32502.1,32502.1,30,39,0
195,2023-10-30 04:15:00,32501.6,32502.1,32494.6,32496.6,72,34,0
196,2023-10-30 04:16:00,32497.1,32497.6,32493.6,32494.1,59,24,0
197,2023-10-30 04:17:00,32493.1,32494.1,32491.1,32492.6,54,34,0
198,2023-10-30 04:18:00,32493.1,32494.1,32488.1,32489.6,30,29,0
199,2023-10-30 04:19:00,32490.1,32492.6,32489.1,32490.6,39,34,0
200,2023-10-30 04:20:00,32491.1,32492.6,32490.1,32491.6,23,34,0
201,2023-10-30 04:21:00,32492.1,32493.1,32489.6,32492.6,38,29,0
202,2023-10-30 04:22:00,32493.1,32493.6,32487.6,32491.6,45,24,0
203,2023-10-30 04:23:00,32491.1,32493.6,32491.1,32491.6,33,34,0
204,2023-10-30 04:24:00,32492.1,32495.1,32491.6,32493.1,28,34,0
205,2023-10-30 04:25:00,32493.6,32498.6,32493.6,32495.6,48,34,0
206,2023-10-30 04:26:00,32495.6,32498.6,32494.6,32495.1,43,29,0
207,2023-10-30 04:27:00,32494.6,32495.1,32490.1,32490.6,42,39,0
208,2023-10-30 04:28:00,32490.6,32490.6,32487.1,32487.6,30,34,0
209,2023-10-30 04:29:00,32487.6,32489.1,32485.1,32487.1,28,39,0
210,2023-10-30 04:30:00,32487.1,32493.6,32487.1,32493.6,59,39,0
211,2023-10-30 04:31:00,32493.6,32496.6,32491.6,32496.6,58,34,0
212,2023-10-30 04:32:00,32496.6,32501.6,32494.6,32501.1,48,34,0
213,2023-10-30 04:33:00,32500.6,32500.6,32494.6,32497.6,69,34,0
214,2023-10-30 04:34:00,32497.1,32497.6,32493.6,32496.6,48,34,0
215,2023-10-30 04:35:00,32496.6,32499.1,32495.6,32498.6,63,34,0
216,2023-10-30 04:36:00,32499.1,32503.1,32498.6,32499.6,58,29,0
217,2023-10-30 04:37:00,32500.1,32500.6,32496.6,32499.6,39,34,0
218,2023-10-30 04:38:00,32499.6,32504.1,32497.6,32504.1,52,29,0
219,2023-10-30 04:39:00,32503.6,32507.6,32499.6,32507.6,53,24,0
220,2023-10-30 04:40:00,32507.6,32511.1,32505.6,32510.6,58,34,0
221,2023-10-30 04:41:00,32511.1,32513.6,32510.1,32511.6,75,29,0
222,2023-10-30 04:42:00,32511.1,32511.1,32509.1,32509.6,67,34,0
223,2023-10-30 04:43:00,32509.1,32512.1,32509.1,32512.1,56,34,0
224,2023-10-30 04:44:00,32511.6,32513.6,32510.6,32512.6,53,34,0
